Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C40, C41, C46, C51, C56, C61, C62, C63, C64, C67, C68, C69, C70, C71, C73, C79, C81, C83, C89, C91, C92, C97, C98",0603,24,100n,C14663
"C100, C101, C102, C15, C8, C85, C86, C87, C88, C93, C94, C95, C96, C99",0603,14,10n,C57112
"C11, C20, C21",0402,3,330p,C13533
"C12, C13",1206,2,10u,C13585
"C14, C4, C65, C66, C72, C76, C80, C82",0603,8,4.7u,C19666
"C16, C17",0805,2,3.3n,C53175
"C18, C19",0603,2,680p,C1630
"C2, C3, C5, C7, C84, C9",0603,6,1u,C15849
"C22, C23",0402,2,47p,C1567
"C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39",0603,16,1n,C1588
"C42, C43, C44, C45, C47, C48, C49, C50, C52, C53, C54, C55, C57, C58, C59, C60",0402,16,100n,C1525
"C74, C75",0402,2,33p,C1562
"C77, C78, C90",0603,3,2.2u,C23630
D1,D_SMC,1,SM15T33CA,C151281
D10,0603,1,RED,C2286
D11,0603,1,BLUE,C72041
"D12, D9",0603,2,GREEN,C72043
D13,0603,1,ORANGE,C72038
"D14, D16, D17, D6, D7, D8",D_SOD-123,6,schottky,C8598
"D15, U11, U12, U13, U16, U18, U20, U22",SOT-23-6,8,SRV05-4,C85364
"D2, D3",D_SMA,2,D_Schottky,C8678
"D4, D5",SOT-323_SC-70,2,PESD1CAN-UX,C152727
"F1, F2",1206,2,Polyfuse,C207035
FB1,0805,1,Ferrite_Bead,C1015
IC1,SOT-23,1,PSM712-LF-T7,C32677
J10,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,C164170
L1,1210,1,2.2u,C75646
L2,MWSA0503,1,10u,C408412
"R1, R100, R3, R4, R47, R48, R49, R50, R59, R60, R61, R62, R71, R72, R73, R74, R83, R84, R85, R86, R89, R90, R97, R99",0402,24,10k,C25744
"R10, R101, R102, R9",0603,4,120,C22787
"R103, R104, R105, R106, R107",0805,5,4.7k,C17673
"R108, R109, R110, R111, R112, R113, R114, R115",0805,8,100,C17408
"R11, R12, R21, R22",0402,4,33k,C25779
"R13, R14, R19, R20, R98",0402,5,100k,C25741
"R15, R16, R51, R52, R53, R54, R63, R64, R65, R66, R75, R76, R77, R78",0402,14,470k,C25790
"R1501, R1502, R1503, R1504, R1601, R1602, R1603, R1604, R87, R88",0402,10,1k,C11702
"R17, R18, R5",0402,3,12k,C25752
R2,0402,1,1,C25086
"R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42",0603,20,2.7k,C13167
"R43, R44, R45, R46, R55, R56, R57, R58, R67, R68, R69, R70, R79, R80, R81, R82",0402,16,5.6k,C25908
R6,0402,1,68k,C36871
"R7, R8",0603,2,10,C22787
"R91, R92, R93, R94, R95",0402,5,330,C25104
R96,0603,1,82k,C23254
"RN1, RN11, RN2, RN3, RN4",R_Array_Convex_4x0603,5,10k,C29718
"RN10, RN5, RN6, RN7, RN8, RN9",R_Array_Convex_4x0603,6,1k,C20197
"SW1, SW2",SW_SPST_EVQQ2,2,SW_Push,C318887
"U1, U2",Infineon_PG-DSO-8-43,2,TLS115D0E,C3747428
"U10, U14, U8, U9",SOT-23-6,4,SN74LVC2G17DB,C10429
"U1001, U1002, U1101, U1102, U1201, U1202",SOIC-8_3.9x4.9mm_P1.27mm,6,VNLD5090,C222209
"U15, U17, U19, U21, U7",TSSOP-14_4.4x5mm_P0.65mm,5,MCP6004,C50282
U23,SOT-23,1,REF3333,C130016
U24,ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y,1,LPS25HB,C94049
U26,LQFP-144_20x20mm_P0.5mm,1,STM32F767ZITx,C90235
U27,SOT-23-6,1,USBLC6-2SC6,C111212
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,LMR14020,C187824
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2551-I-SN,C7376
U40,Infineon_PG-DSO-20-32,1,BTS716G,C85135
U41,SOT-23-5,1,MIC5205-3.3YM5,C5370979
"U42, U43, U44, U45",SO-8_3.9x4.9mm_P1.27mm,4,MIC4427,C171845
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
