Designator,Mid X,Mid Y,Rotation,Layer
C10,99.523,-88.421,90.0,top
C100,64.779935,-95.722659,0.0,top
C101,64.77164,-92.07211,0.0,top
C102,64.753945,-90.512709,0.0,top
C11,104.73,-97.438,180.0,top
C12,109.556,-91.85,0.0,top
C13,111.842,-87.786,270.0,top
C14,124.288,-94.39,270.0,top
C15,147.823071,-132.660193,180.0,top
C16,151.204535,-129.027511,0.0,top
C17,151.289903,-136.261658,0.0,top
C18,144.689658,-124.574584,270.0,top
C19,144.74661,-136.013208,270.0,top
C2,140.279326,-81.364052,90.0,top
C20,141.020875,-124.66434,270.0,top
C21,141.124942,-136.402551,90.0,top
C22,139.678922,-128.503362,270.0,top
C23,138.498996,-129.805667,270.0,top
C24,141.844196,-86.4905,90.0,top
C25,148.832828,-86.452287,90.0,top
C26,145.356632,-86.468294,90.0,top
C27,134.625131,-86.499915,90.0,top
C28,138.445903,-86.446526,90.0,top
C29,130.07194,-84.486373,90.0,top
C3,149.815912,-77.264231,270.0,top
C30,143.368196,-89.5385,90.0,top
C31,150.356828,-89.500287,90.0,top
C32,146.880632,-89.516294,90.0,top
C33,136.157702,-89.538175,90.0,top
C34,139.969903,-89.494526,90.0,top
C35,131.59594,-87.534373,90.0,top
C36,132.036134,-67.628556,90.0,top
C37,140.435558,-67.448089,90.0,top
C38,132.917861,-65.274834,180.0,top
C39,139.557492,-65.105165,0.0,top
C4,103.587,-79.912,90.0,top
C40,130.384,-105.82,135.0,top
C41,151.654537,-95.467754,0.0,top
C42,144.608,-98.708,180.0,top
C43,144.608,-97.692,180.0,top
C44,144.608,-96.676,180.0,top
C45,144.608,-95.66,180.0,top
C46,136.988,-126.648,0.0,top
C47,144.846731,-122.432877,180.0,top
C48,144.809333,-121.165643,180.0,top
C49,144.809333,-119.916537,180.0,top
C5,149.970368,-81.337502,90.0,top
C50,144.744535,-118.648731,180.0,top
C51,134.956,-112.678,90.0,top
C52,147.247414,-115.087709,180.0,top
C53,147.247414,-114.071709,180.0,top
C54,147.247414,-113.055709,180.0,top
C55,147.247414,-112.039709,180.0,top
C56,147.245266,-107.582392,0.0,top
C57,144.608,-103.026,180.0,top
C58,144.608,-102.01,180.0,top
C59,144.608,-100.994,180.0,top
C60,144.608,-99.978,180.0,top
C61,107.778,-101.248,0.0,top
C62,115.652,-106.074,135.0,top
C63,123.145,-98.2,0.0,top
C64,123.018,-123.092,135.0,top
C65,123.78,-114.202,135.0,top
C66,100.412,-105.058,315.0,top
C67,96.602,-108.2584,315.0,top
C68,118.954,-109.122,135.0,top
C69,96.094,-123.6,270.0,top
C7,95.84,-92.104,180.0,top
C70,124.0975,-122.076,315.0,top
C71,106.254,-132.744,180.0,top
C72,100.158,-128.426,45.0,top
C73,92.919,-116.869,90.0,top
C74,119.462,-132.998,0.0,top
C75,122.51,-132.998,180.0,top
C76,116.922,-126.902,45.0,top
C77,111.461,-101.375,45.0,top
C78,93.046,-111.662,135.0,top
C79,88.728,-112.932,90.0,top
C8,96.918333,-95.620449,180.0,top
C80,111.588,-132.363,315.0,top
C81,125.304,-120.044,45.0,top
C82,126.574,-121.06,45.0,top
C83,81.713462,-90.384858,0.0,top
C84,126.130133,-94.361905,270.0,top
C85,89.494413,-80.590297,270.0,top
C86,105.022164,-69.398713,0.0,top
C87,101.19246,-65.566485,0.0,top
C88,101.197161,-63.968098,0.0,top
C89,106.5,-64.8,180.0,top
C9,140.172736,-77.247402,270.0,top
C90,116.3,-61.0,180.0,top
C91,71.8,-112.1,0.0,top
C92,70.4,-104.5,180.0,top
C93,64.862605,-113.499835,0.0,top
C94,64.862605,-109.926207,0.0,top
C95,64.84961,-106.378569,0.0,top
C96,64.810625,-102.83093,0.0,top
C97,70.4,-97.5,180.0,top
C98,76.8,-89.3,270.0,top
C99,64.805925,-99.257302,0.0,top
D1,118.065,-84.484,0.0,top
D10,103.46,-136.046,180.0,top
D11,109.556,-136.046,180.0,top
D12,115.652,-136.046,180.0,top
D13,121.748,-136.046,180.0,top
D14,91.873462,-98.925405,90.0,top
D15,125.558,-88.802,90.0,top
D16,107.1,-60.7,0.0,top
D17,117.6,-64.2,90.0,top
D2,109.048,-81.182,0.0,top
D3,102.19,-86.516,90.0,top
D4,124.923,-83.468,270.0,top
D5,92.919,-91.85,270.0,top
D6,126.4,-112.2,225.0,top
D7,127.336,-117.25,0.0,top
